ROWHEADER,Test,ODI,T20,IPL,name,country
Highest,199,112,110,132,KL Rahul,India
Average,33.58,49.08,37.75,45.99,KL Rahul,India
SR,52.81,88.18,139.13,135.46,KL Rahul,India
Not Out,4,17,8,21,KL Rahul,India
Fours,386,235,191,418,KL Rahul,India
Sixes,26,67,99,199,KL Rahul,India
Ducks,9,3,5,4,KL Rahul,India
50s,17,18,22,39,KL Rahul,India
100s,8,7,2,4,KL Rahul,India
200s,0,0,0,0,KL Rahul,India
300s,0,0,0,0,KL Rahul,India
400s,0,0,0,0,KL Rahul,India
Matches,0,16,42,174,Sanju Samson,India
Innings,0,14,38,170,Sanju Samson,India
Runs,0,510,861,4643,Sanju Samson,India
Balls,0,512,565,3336,Sanju Samson,India
Highest,0,108,111,119,Sanju Samson,India
Average,0,56.67,25.32,30.75,Sanju Samson,India
SR,0,99.61,152.39,139.18,Sanju Samson,India
Not Out,0,5,4,19,Sanju Samson,India
Fours,0,34,71,375,Sanju Samson,India
Sixes,0,22,49,216,Sanju Samson,India
Ducks,0,0,6,11,Sanju Samson,India
50s,0,3,2,26,Sanju Samson,India
100s,0,1,3,3,Sanju Samson,India
200s,0,0,0,0,Sanju Samson,India
300s,0,0,0,0,Sanju Samson,India
400s,0,0,0,0,Sanju Samson,India
Matches,40,9,0,170,Wriddhiman Saha,India
Innings,56,5,0,145,Wriddhiman Saha,India
Runs,1353,41,0,2934,Wriddhiman Saha,India
Balls,2973,56,0,2300,Wriddhiman Saha,India
Highest,117,16,0,115,Wriddhiman Saha,India
Average,29.41,13.67,0,24.25,Wriddhiman Saha,India
SR,45.51,73.22,0,127.57,Wriddhiman Saha,India
Not Out,10,2,0,24,Wriddhiman Saha,India
Fours,129,5,0,296,Wriddhiman Saha,India
Sixes,14,0,0,87,Wriddhiman Saha,India
Ducks,6,0,0,7,Wriddhiman Saha,India
50s,6,0,0,13,Wriddhiman Saha,India
100s,3,0,0,1,Wriddhiman Saha,India
200s,0,0,0,0,Wriddhiman Saha,India
300s,0,0,0,0,Wriddhiman Saha,India
400s,0,0,0,0,Wriddhiman Saha,India
Matches,43,31,76,118,Rishabh Pant,India
Innings,75,27,66,116,Rishabh Pant,India
Runs,2948,871,1209,3387,Rishabh Pant,India
Balls,4005,820,949,2304,Rishabh Pant,India
Highest,159,125,65,128,Rishabh Pant,India
