ROWHEADER,Test,ODI,T20,IPL,name,country
SR,50.93,85.72,164.16,157.15,Dwaine Pretorius,South Africa
Not Out,0,1,5,1,Dwaine Pretorius,South Africa
Fours,13,14,22,3,Dwaine Pretorius,South Africa
Sixes,1,5,15,3,Dwaine Pretorius,South Africa
Ducks,1,1,2,1,Dwaine Pretorius,South Africa
50s,0,1,1,0,Dwaine Pretorius,South Africa
100s,0,0,0,0,Dwaine Pretorius,South Africa
200s,0,0,0,0,Dwaine Pretorius,South Africa
300s,0,0,0,0,Dwaine Pretorius,South Africa
400s,0,0,0,0,Dwaine Pretorius,South Africa
Matches,4,42,23,81,Chris Morris,South Africa
Innings,7,27,13,51,Chris Morris,South Africa
Runs,173,468,133,618,Chris Morris,South Africa
Balls,362,465,102,398,Chris Morris,South Africa
Highest,69,62,55,82,Chris Morris,South Africa
Average,24.71,20.35,14.78,22.07,Chris Morris,South Africa
SR,47.8,100.65,130.4,155.28,Chris Morris,South Africa
Not Out,0,4,4,23,Chris Morris,South Africa
Fours,25,36,12,41,Chris Morris,South Africa
Sixes,0,15,5,35,Chris Morris,South Africa
Ducks,0,0,3,9,Chris Morris,South Africa
50s,1,1,1,2,Chris Morris,South Africa
100s,0,0,0,0,Chris Morris,South Africa
200s,0,0,0,0,Chris Morris,South Africa
300s,0,0,0,0,Chris Morris,South Africa
400s,0,0,0,0,Chris Morris,South Africa
Matches,54,155,92,114,Quinton de Kock,South Africa
Innings,91,155,91,114,Quinton de Kock,South Africa
Runs,3300,6770,2584,3300,Quinton de Kock,South Africa
Balls,4652,7005,1868,2456,Quinton de Kock,South Africa
Highest,141,178,100,140,Quinton de Kock,South Africa
Average,38.82,45.74,31.51,30.84,Quinton de Kock,South Africa
SR,70.94,96.65,138.33,134.37,Quinton de Kock,South Africa
Not Out,6,7,9,7,Quinton de Kock,South Africa
Fours,411,771,264,325,Quinton de Kock,South Africa
Sixes,33,118,103,134,Quinton de Kock,South Africa
Ducks,7,4,7,4,Quinton de Kock,South Africa
50s,22,30,16,24,Quinton de Kock,South Africa
100s,6,21,1,2,Quinton de Kock,South Africa
200s,0,0,0,0,Quinton de Kock,South Africa
300s,0,0,0,0,Quinton de Kock,South Africa
400s,0,0,0,0,Quinton de Kock,South Africa
Matches,20,107,38,59,Imran Tahir,South Africa
Innings,23,36,4,9,Imran Tahir,South Africa
Runs,130,157,19,33,Imran Tahir,South Africa
Balls,235,225,18,37,Imran Tahir,South Africa
Highest,29,29,9,13,Imran Tahir,South Africa
Average,9.29,7.85,19,8.25,Imran Tahir,South Africa
SR,55.32,69.78,105.56,89.19,Imran Tahir,South Africa
Not Out,9,16,3,5,Imran Tahir,South Africa
Fours,18,21,1,5,Imran Tahir,South Africa
Sixes,1,1,1,0,Imran Tahir,South Africa
Ducks,2,6,0,0,Imran Tahir,South Africa
50s,0,0,0,0,Imran Tahir,South Africa
100s,0,0,0,0,Imran Tahir,South Africa
200s,0,0,0,0,Imran Tahir,South Africa
300s,0,0,0,0,Imran Tahir,South Africa
400s,0,0,0,0,Imran Tahir,South Africa
Matches,70,106,65,82,Kagiso Rabada,South Africa
Innings,106,45,24,32,Kagiso Rabada,South Africa
Runs,1030,401,156,213,Kagiso Rabada,South Africa
Balls,2053,507,141,198,Kagiso Rabada,South Africa
Highest,47,31,22,44,Kagiso Rabada,South Africa
Average,11.98,14.85,17.33,12.53,Kagiso Rabada,South Africa
SR,50.18,79.1,110.64,107.58,Kagiso Rabada,South Africa
Not Out,20,18,15,15,Kagiso Rabada,South Africa
Fours,135,30,14,16,Kagiso Rabada,South Africa
Sixes,16,12,5,9,Kagiso Rabada,South Africa
Ducks,20,2,4,4,Kagiso Rabada,South Africa
50s,0,0,0,0,Kagiso Rabada,South Africa
100s,0,0,0,0,Kagiso Rabada,South Africa
200s,0,0,0,0,Kagiso Rabada,South Africa
300s,0,0,0,0,Kagiso Rabada,South Africa
400s,0,0,0,0,Kagiso Rabada,South Africa
Matches,19,67,43,14,Lungi Ngidi,South Africa
Innings,30,27,13,0,Lungi Ngidi,South Africa
Runs,97,124,41,0,Lungi Ngidi,South Africa
Balls,229,236,52,0,Lungi Ngidi,South Africa
Highest,19,20,13,0,Lungi Ngidi,South Africa
Average,4.85,11.27,8.2,0,Lungi Ngidi,South Africa
SR,42.36,52.55,78.85,0,Lungi Ngidi,South Africa
Not Out,10,16,8,0,Lungi Ngidi,South Africa
Fours,14,8,4,0,Lungi Ngidi,South Africa
Sixes,1,6,0,0,Lungi Ngidi,South Africa
Ducks,8,5,2,0,Lungi Ngidi,South Africa
50s,0,0,0,0,Lungi Ngidi,South Africa
100s,0,0,0,0,Lungi Ngidi,South Africa
200s,0,0,0,0,Lungi Ngidi,South Africa
300s,0,0,0,0,Lungi Ngidi,South Africa
400s,0,0,0,0,Lungi Ngidi,South Africa
Matches,2,55,70,5,Tabraiz Shamsi,South Africa
Innings,4,15,14,1,Tabraiz Shamsi,South Africa
Runs,20,39,10,2,Tabraiz Shamsi,South Africa
Balls,48,69,27,4,Tabraiz Shamsi,South Africa
Highest,18,11,4,2,Tabraiz Shamsi,South Africa
Average,20,9.75,2,0,Tabraiz Shamsi,South Africa
SR,41.67,56.53,37.04,50,Tabraiz Shamsi,South Africa
Not Out,3,11,9,1,Tabraiz Shamsi,South Africa
Fours,2,4,0,0,Tabraiz Shamsi,South Africa
Sixes,0,0,0,0,Tabraiz Shamsi,South Africa
Ducks,0,3,5,0,Tabraiz Shamsi,South Africa
50s,0,0,0,0,Tabraiz Shamsi,South Africa
100s,0,0,0,0,Tabraiz Shamsi,South Africa
200s,0,0,0,0,Tabraiz Shamsi,South Africa
300s,0,0,0,0,Tabraiz Shamsi,South Africa
400s,0,0,0,0,Tabraiz Shamsi,South Africa
Matches,1,10,19,7,Beuran Hendricks,South Africa
Innings,2,4,5,3,Beuran Hendricks,South Africa
Runs,9,24,18,1,Beuran Hendricks,South Africa
Balls,18,45,23,3,Beuran Hendricks,South Africa
Highest,5,18,12,1,Beuran Hendricks,South Africa
Average,9,8,6,1,Beuran Hendricks,South Africa
SR,50,53.34,78.27,33.34,Beuran Hendricks,South Africa
Not Out,1,1,2,2,Beuran Hendricks,South Africa
Fours,1,2,0,0,Beuran Hendricks,South Africa
Sixes,0,0,1,0,Beuran Hendricks,South Africa
Ducks,0,0,1,1,Beuran Hendricks,South Africa
50s,0,0,0,0,Beuran Hendricks,South Africa
100s,0,0,0,0,Beuran Hendricks,South Africa
200s,0,0,0,0,Beuran Hendricks,South Africa
300s,0,0,0,0,Beuran Hendricks,South Africa
400s,0,0,0,0,Beuran Hendricks,South Africa
Matches,56,122,26,1,Darren Bravo,West Indies
Innings,102,117,22,1,Darren Bravo,West Indies
Runs,3538,3109,405,6,Darren Bravo,West Indies
Balls,7886,4434,379,5,Darren Bravo,West Indies
Highest,218,124,43,6,Darren Bravo,West Indies
Average,36.1,29.61,21.32,0,Darren Bravo,West Indies
SR,44.87,70.12,106.87,120,Darren Bravo,West Indies
Not Out,4,12,3,1,Darren Bravo,West Indies
Fours,405,252,32,1,Darren Bravo,West Indies
Sixes,41,75,14,0,Darren Bravo,West Indies
Ducks,5,9,3,0,Darren Bravo,West Indies
50s,17,18,0,0,Darren Bravo,West Indies
100s,8,4,0,0,Darren Bravo,West Indies
200s,1,0,0,0,Darren Bravo,West Indies
300s,0,0,0,0,Darren Bravo,West Indies
400s,0,0,0,0,Darren Bravo,West Indies
Matches,103,301,79,142,Chris Gayle,West Indies
Innings,182,294,75,141,Chris Gayle,West Indies
Runs,7215,10480,1899,4965,Chris Gayle,West Indies
Balls,11970,12019,1381,3333,Chris Gayle,West Indies
Highest,333,215,117,175,Chris Gayle,West Indies
Average,42.19,37.7,27.93,39.72,Chris Gayle,West Indies
SR,60.28,87.2,137.51,148.97,Chris Gayle,West Indies
Not Out,11,16,7,16,Chris Gayle,West Indies
Fours,1046,1128,158,405,Chris Gayle,West Indies
Sixes,98,331,124,357,Chris Gayle,West Indies
Ducks,15,25,4,8,Chris Gayle,West Indies
50s,37,54,14,31,Chris Gayle,West Indies
100s,15,25,2,6,Chris Gayle,West Indies
200s,3,1,0,0,Chris Gayle,West Indies
300s,2,0,0,0,Chris Gayle,West Indies
400s,0,0,0,0,Chris Gayle,West Indies
Matches,0,63,61,27,Evin Lewis,West Indies
Innings,0,60,60,26,Evin Lewis,West Indies
Runs,0,2131,1643,654,Evin Lewis,West Indies
Balls,0,2472,1081,477,Evin Lewis,West Indies
Highest,0,176,125,65,Evin Lewis,West Indies
Average,0,38.05,28.82,27.25,Evin Lewis,West Indies
SR,0,86.21,151.99,137.11,Evin Lewis,West Indies
Not Out,0,4,3,2,Evin Lewis,West Indies
Fours,0,206,125,62,Evin Lewis,West Indies
Sixes,0,69,124,36,Evin Lewis,West Indies
Ducks,0,3,5,2,Evin Lewis,West Indies
50s,0,11,12,4,Evin Lewis,West Indies
100s,0,5,2,0,Evin Lewis,West Indies
200s,0,0,0,0,Evin Lewis,West Indies
300s,0,0,0,0,Evin Lewis,West Indies
400s,0,0,0,0,Evin Lewis,West Indies
Matches,16,56,62,79,Shimron Hetmyer,West Indies
Innings,30,51,52,73,Shimron Hetmyer,West Indies
Runs,838,1539,942,1407,Shimron Hetmyer,West Indies
Balls,1138,1460,795,920,Shimron Hetmyer,West Indies
Highest,93,139,81,75,Shimron Hetmyer,West Indies
Average,27.93,32.06,20.04,30.59,Shimron Hetmyer,West Indies
SR,73.64,105.42,118.5,152.94,Shimron Hetmyer,West Indies
Not Out,0,3,5,27,Shimron Hetmyer,West Indies
Fours,85,117,63,87,Shimron Hetmyer,West Indies
Sixes,27,56,47,91,Shimron Hetmyer,West Indies
Ducks,0,3,4,2,Shimron Hetmyer,West Indies
50s,5,4,5,5,Shimron Hetmyer,West Indies
100s,0,5,0,0,Shimron Hetmyer,West Indies
200s,0,0,0,0,Shimron Hetmyer,West Indies
300s,0,0,0,0,Shimron Hetmyer,West Indies
400s,0,0,0,0,Shimron Hetmyer,West Indies
Matches,0,20,39,5,Fabian Allen,West Indies
Innings,0,16,27,4,Fabian Allen,West Indies
Runs,0,200,272,14,Fabian Allen,West Indies
Balls,0,203,199,19,Fabian Allen,West Indies
Highest,0,51,34,8,Fabian Allen,West Indies
Average,0,15.38,15.11,7,Fabian Allen,West Indies
SR,0,98.53,136.69,73.69,Fabian Allen,West Indies
Not Out,0,3,9,2,Fabian Allen,West Indies
Fours,0,18,16,1,Fabian Allen,West Indies
Sixes,0,8,21,0,Fabian Allen,West Indies
Ducks,0,2,5,0,Fabian Allen,West Indies
50s,0,1,0,0,Fabian Allen,West Indies
100s,0,0,0,0,Fabian Allen,West Indies
200s,0,0,0,0,Fabian Allen,West Indies
300s,0,0,0,0,Fabian Allen,West Indies
400s,0,0,0,0,Fabian Allen,West Indies
Matches,69,138,63,46,Jason Holder,West Indies
Innings,123,114,44,27,Jason Holder,West Indies
Runs,3073,2237,491,259,Jason Holder,West Indies
Balls,5595,2479,380,210,Jason Holder,West Indies
Highest,202,99,38,47,Jason Holder,West Indies
Average,29.83,24.86,16.37,12.33,Jason Holder,West Indies
SR,54.93,90.24,129.22,123.34,Jason Holder,West Indies
Not Out,20,24,14,6,Jason Holder,West Indies
Fours,359,160,31,13,Jason Holder,West Indies
Sixes,55,69,27,18,Jason Holder,West Indies
Ducks,11,11,7,2,Jason Holder,West Indies
50s,14,12,0,0,Jason Holder,West Indies
100s,3,0,0,0,Jason Holder,West Indies
200s,1,0,0,0,Jason Holder,West Indies
300s,0,0,0,0,Jason Holder,West Indies
400s,0,0,0,0,Jason Holder,West Indies
Matches,1,56,83,133,Andre Russell,West Indies
Innings,1,47,72,110,Andre Russell,West Indies
Runs,2,1034,1063,2518,Andre Russell,West Indies
Balls,9,794,648,1451,Andre Russell,West Indies
Highest,2,92,71,88,Andre Russell,West Indies
Average,2,27.21,22.15,27.98,Andre Russell,West Indies
SR,22.23,130.23,164.05,173.54,Andre Russell,West Indies
Not Out,0,9,24,20,Andre Russell,West Indies
Fours,0,94,63,173,Andre Russell,West Indies
Sixes,0,57,89,212,Andre Russell,West Indies
Ducks,0,6,9,5,Andre Russell,West Indies
50s,0,4,3,11,Andre Russell,West Indies
100s,0,0,0,0,Andre Russell,West Indies
200s,0,0,0,0,Andre Russell,West Indies
300s,0,0,0,0,Andre Russell,West Indies
400s,0,0,0,0,Andre Russell,West Indies
Matches,3,44,41,16,Carlos Brathwaite,West Indies
Innings,5,37,27,14,Carlos Brathwaite,West Indies
Runs,181,559,310,181,Carlos Brathwaite,West Indies
Balls,284,614,274,111,Carlos Brathwaite,West Indies
Highest,69,101,37,43,Carlos Brathwaite,West Indies
Average,45.25,16.44,14.76,13.92,Carlos Brathwaite,West Indies
SR,63.74,91.05,113.14,163.07,Carlos Brathwaite,West Indies
Not Out,1,3,6,1,Carlos Brathwaite,West Indies
Fours,12,38,13,10,Carlos Brathwaite,West Indies
Sixes,7,24,22,16,Carlos Brathwaite,West Indies
Ducks,1,2,3,0,Carlos Brathwaite,West Indies
50s,3,1,0,0,Carlos Brathwaite,West Indies
100s,0,1,0,0,Carlos Brathwaite,West Indies
200s,0,0,0,0,Carlos Brathwaite,West Indies
300s,0,0,0,0,Carlos Brathwaite,West Indies
400s,0,0,0,0,Carlos Brathwaite,West Indies
Matches,38,133,39,9,Shai Hope,West Indies
Innings,72,128,37,9,Shai Hope,West Indies
Runs,1726,5443,847,183,Shai Hope,West Indies
Balls,4124,6981,612,122,Shai Hope,West Indies
Highest,147,170,82,41,Shai Hope,West Indies
Average,25.01,49.48,26.47,22.88,Shai Hope,West Indies
SR,41.86,77.97,138.4,150,Shai Hope,West Indies
Not Out,3,18,5,1,Shai Hope,West Indies
Fours,199,426,69,12,Shai Hope,West Indies
Sixes,6,102,44,12,Shai Hope,West Indies
Ducks,2,5,3,0,Shai Hope,West Indies
50s,5,26,5,0,Shai Hope,West Indies
100s,2,17,0,0,Shai Hope,West Indies
200s,0,0,0,0,Shai Hope,West Indies
300s,0,0,0,0,Shai Hope,West Indies
400s,0,0,0,0,Shai Hope,West Indies
Matches,0,61,106,83,Nicholas Pooran,West Indies
Innings,0,58,97,80,Nicholas Pooran,West Indies
Runs,0,1983,2275,2126,Nicholas Pooran,West Indies
Balls,0,2000,1668,1261,Nicholas Pooran,West Indies
Highest,0,118,98,87,Nicholas Pooran,West Indies
Average,0,39.66,26.15,34.85,Nicholas Pooran,West Indies
SR,0,99.15,136.4,168.6,Nicholas Pooran,West Indies
Not Out,0,8,10,19,Nicholas Pooran,West Indies
Fours,0,157,152,140,Nicholas Pooran,West Indies
Sixes,0,80,149,158,Nicholas Pooran,West Indies
Ducks,0,3,3,9,Nicholas Pooran,West Indies
50s,0,11,13,13,Nicholas Pooran,West Indies
100s,0,3,0,0,Nicholas Pooran,West Indies
200s,0,0,0,0,Nicholas Pooran,West Indies
300s,0,0,0,0,Nicholas Pooran,West Indies
400s,0,0,0,0,Nicholas Pooran,West Indies
Matches,2,38,45,6,Sheldon Cottrell,West Indies
Innings,4,19,10,1,Sheldon Cottrell,West Indies
Runs,11,88,18,0,Sheldon Cottrell,West Indies
Balls,24,130,29,2,Sheldon Cottrell,West Indies
Highest,5,17,4,0,Sheldon Cottrell,West Indies
Average,2.75,11,4.5,0,Sheldon Cottrell,West Indies
SR,45.84,67.7,62.07,0,Sheldon Cottrell,West Indies
Not Out,0,11,6,0,Sheldon Cottrell,West Indies
Fours,1,6,2,0,Sheldon Cottrell,West Indies
Sixes,0,4,0,0,Sheldon Cottrell,West Indies
Ducks,1,2,1,1,Sheldon Cottrell,West Indies
50s,0,0,0,0,Sheldon Cottrell,West Indies
100s,0,0,0,0,Sheldon Cottrell,West Indies
200s,0,0,0,0,Sheldon Cottrell,West Indies
300s,0,0,0,0,Sheldon Cottrell,West Indies
400s,0,0,0,0,Sheldon Cottrell,West Indies
Matches,59,25,2,0,Shannon Gabriel,West Indies
Innings,88,16,0,0,Shannon Gabriel,West Indies
Runs,229,24,0,0,Shannon Gabriel,West Indies
Balls,660,63,0,0,Shannon Gabriel,West Indies
Highest,20,12,0,0,Shannon Gabriel,West Indies
Average,4.24,3.43,0,0,Shannon Gabriel,West Indies
SR,34.7,38.1,0,0,Shannon Gabriel,West Indies
Not Out,34,9,0,0,Shannon Gabriel,West Indies
Fours,28,1,0,0,Shannon Gabriel,West Indies
Sixes,6,0,0,0,Shannon Gabriel,West Indies
Ducks,23,4,0,0,Shannon Gabriel,West Indies
50s,0,0,0,0,Shannon Gabriel,West Indies
100s,0,0,0,0,Shannon Gabriel,West Indies
200s,0,0,0,0,Shannon Gabriel,West Indies
300s,0,0,0,0,Shannon Gabriel,West Indies
400s,0,0,0,0,Shannon Gabriel,West Indies
Matches,85,95,11,2,Kemar Roach,West Indies
Innings,136,60,1,1,Kemar Roach,West Indies
Runs,1286,308,3,10,Kemar Roach,West Indies
Balls,3426,594,2,9,Kemar Roach,West Indies
Highest,47,34,3,10,Kemar Roach,West Indies
Average,11.91,12.83,0,10,Kemar Roach,West Indies
SR,37.54,51.86,150,111.12,Kemar Roach,West Indies
Not Out,28,36,1,0,Kemar Roach,West Indies
Fours,150,24,0,1,Kemar Roach,West Indies
Sixes,16,6,0,0,Kemar Roach,West Indies
Ducks,20,9,0,0,Kemar Roach,West Indies
50s,0,0,0,0,Kemar Roach,West Indies
100s,0,0,0,0,Kemar Roach,West Indies
200s,0,0,0,0,Kemar Roach,West Indies
300s,0,0,0,0,Kemar Roach,West Indies
400s,0,0,0,0,Kemar Roach,West Indies
Matches,0,54,13,0,Ashley Nurse,West Indies
Innings,0,40,8,0,Ashley Nurse,West Indies
Runs,0,502,85,0,Ashley Nurse,West Indies
Balls,0,513,71,0,Ashley Nurse,West Indies
Highest,0,44,20,0,Ashley Nurse,West Indies
Average,0,19.31,42.5,0,Ashley Nurse,West Indies
SR,0,97.86,119.72,0,Ashley Nurse,West Indies
Not Out,0,14,6,0,Ashley Nurse,West Indies
Fours,0,44,7,0,Ashley Nurse,West Indies
Sixes,0,12,3,0,Ashley Nurse,West Indies
Ducks,0,2,0,0,Ashley Nurse,West Indies
50s,0,0,0,0,Ashley Nurse,West Indies
100s,0,0,0,0,Ashley Nurse,West Indies
200s,0,0,0,0,Ashley Nurse,West Indies
300s,0,0,0,0,Ashley Nurse,West Indies
400s,0,0,0,0,Ashley Nurse,West Indies
Matches,0,25,21,4,Oshane Thomas,West Indies
Innings,0,14,7,0,Oshane Thomas,West Indies
Runs,0,22,9,0,Oshane Thomas,West Indies
Balls,0,73,15,0,Oshane Thomas,West Indies
Highest,0,7,8,0,Oshane Thomas,West Indies
Average,0,4.4,2.25,0,Oshane Thomas,West Indies
SR,0,30.14,60,0,Oshane Thomas,West Indies
Not Out,0,9,3,0,Oshane Thomas,West Indies
Fours,0,2,2,0,Oshane Thomas,West Indies
Sixes,0,0,0,0,Oshane Thomas,West Indies
Ducks,0,3,3,0,Oshane Thomas,West Indies
50s,0,0,0,0,Oshane Thomas,West Indies
100s,0,0,0,0,Oshane Thomas,West Indies
200s,0,0,0,0,Oshane Thomas,West Indies
300s,0,0,0,0,Oshane Thomas,West Indies
400s,0,0,0,0,Oshane Thomas,West Indies
Matches,23,128,71,0,Craig Ervine,Zimbabwe
Innings,46,124,70,0,Craig Ervine,Zimbabwe
Runs,1598,3600,1449,0,Craig Ervine,Zimbabwe
Balls,3169,4695,1370,0,Craig Ervine,Zimbabwe
Highest,160,130,70,0,Craig Ervine,Zimbabwe
Average,37.16,33.03,21.95,0,Craig Ervine,Zimbabwe
SR,50.43,76.68,105.77,0,Craig Ervine,Zimbabwe
Not Out,3,15,4,0,Craig Ervine,Zimbabwe
Fours,170,350,143,0,Craig Ervine,Zimbabwe
Sixes,14,47,30,0,Craig Ervine,Zimbabwe
Ducks,2,11,5,0,Craig Ervine,Zimbabwe
50s,7,23,9,0,Craig Ervine,Zimbabwe
100s,4,4,0,0,Craig Ervine,Zimbabwe
200s,0,0,0,0,Craig Ervine,Zimbabwe
300s,0,0,0,0,Craig Ervine,Zimbabwe
400s,0,0,0,0,Craig Ervine,Zimbabwe
Matches,38,209,65,0,Hamilton Masakadza,Zimbabwe
Innings,76,208,66,0,Hamilton Masakadza,Zimbabwe
Runs,2222,5658,1662,0,Hamilton Masakadza,Zimbabwe
Balls,5008,7728,1418,0,Hamilton Masakadza,Zimbabwe
Highest,158,178,93,0,Hamilton Masakadza,Zimbabwe
Average,30.03,27.74,25.97,0,Hamilton Masakadza,Zimbabwe
SR,44.37,73.22,117.21,0,Hamilton Masakadza,Zimbabwe
Not Out,2,4,2,0,Hamilton Masakadza,Zimbabwe
Fours,265,585,151,0,Hamilton Masakadza,Zimbabwe
Sixes,23,86,65,0,Hamilton Masakadza,Zimbabwe
Ducks,10,15,1,0,Hamilton Masakadza,Zimbabwe
50s,8,34,11,0,Hamilton Masakadza,Zimbabwe
100s,5,5,0,0,Hamilton Masakadza,Zimbabwe
200s,0,0,0,0,Hamilton Masakadza,Zimbabwe
300s,0,0,0,0,Hamilton Masakadza,Zimbabwe
400s,0,0,0,0,Hamilton Masakadza,Zimbabwe
Matches,18,151,105,9,Sikandar Raza,Zimbabwe
Innings,35,142,100,9,Sikandar Raza,Zimbabwe
Runs,1286,4325,2403,182,Sikandar Raza,Zimbabwe
Balls,2339,5044,1766,136,Sikandar Raza,Zimbabwe
Highest,127,141,133,57,Sikandar Raza,Zimbabwe
Average,36.74,36.04,25.84,26,Sikandar Raza,Zimbabwe
SR,54.99,85.75,136.08,133.83,Sikandar Raza,Zimbabwe
Not Out,0,22,7,2,Sikandar Raza,Zimbabwe
Fours,126,360,180,12,Sikandar Raza,Zimbabwe
Sixes,17,105,117,8,Sikandar Raza,Zimbabwe
Ducks,3,3,8,0,Sikandar Raza,Zimbabwe
50s,9,22,14,1,Sikandar Raza,Zimbabwe
100s,1,7,1,0,Sikandar Raza,Zimbabwe
200s,0,0,0,0,Sikandar Raza,Zimbabwe
300s,0,0,0,0,Sikandar Raza,Zimbabwe
400s,0,0,0,0,Sikandar Raza,Zimbabwe
Matches,17,162,81,0,Sean Williams,Zimbabwe
Innings,33,157,80,0,Sean Williams,Zimbabwe
Runs,1363,5140,1691,0,Sean Williams,Zimbabwe
Balls,2248,5918,1338,0,Sean Williams,Zimbabwe
Highest,154,174,66,0,Sean Williams,Zimbabwe
Average,45.43,37.52,23.49,0,Sean Williams,Zimbabwe
SR,60.64,86.86,126.39,0,Sean Williams,Zimbabwe
Not Out,3,20,8,0,Sean Williams,Zimbabwe
Fours,150,462,161,0,Sean Williams,Zimbabwe
Sixes,10,63,42,0,Sean Williams,Zimbabwe
Ducks,0,9,6,0,Sean Williams,Zimbabwe
50s,3,36,11,0,Sean Williams,Zimbabwe
100s,5,8,0,0,Sean Williams,Zimbabwe
200s,0,0,0,0,Sean Williams,Zimbabwe
300s,0,0,0,0,Sean Williams,Zimbabwe
400s,0,0,0,0,Sean Williams,Zimbabwe
Matches,2,47,9,0,Solomon Mire,Zimbabwe
Innings,4,47,8,0,Solomon Mire,Zimbabwe
Runs,78,955,253,0,Solomon Mire,Zimbabwe
Balls,135,1191,196,0,Solomon Mire,Zimbabwe
Highest,47,112,94,0,Solomon Mire,Zimbabwe
Average,19.5,20.32,31.63,0,Solomon Mire,Zimbabwe
SR,57.78,80.19,129.09,0,Solomon Mire,Zimbabwe
Not Out,0,0,0,0,Solomon Mire,Zimbabwe
Fours,12,93,23,0,Solomon Mire,Zimbabwe
Sixes,1,24,13,0,Solomon Mire,Zimbabwe
Ducks,1,4,0,0,Solomon Mire,Zimbabwe
50s,0,3,2,0,Solomon Mire,Zimbabwe
100s,0,1,0,0,Solomon Mire,Zimbabwe
200s,0,0,0,0,Solomon Mire,Zimbabwe
300s,0,0,0,0,Solomon Mire,Zimbabwe
400s,0,0,0,0,Solomon Mire,Zimbabwe
Matches,7,14,3,0,Brian Chari,Zimbabwe
Innings,14,14,3,0,Brian Chari,Zimbabwe
Runs,254,186,21,0,Brian Chari,Zimbabwe
Balls,642,399,31,0,Brian Chari,Zimbabwe
Highest,80,39,19,0,Brian Chari,Zimbabwe
Average,18.14,13.29,7,0,Brian Chari,Zimbabwe
SR,39.57,46.62,67.75,0,Brian Chari,Zimbabwe
Not Out,0,0,0,0,Brian Chari,Zimbabwe
Fours,26,12,4,0,Brian Chari,Zimbabwe
Sixes,6,2,0,0,Brian Chari,Zimbabwe
Ducks,2,0,1,0,Brian Chari,Zimbabwe
50s,2,0,0,0,Brian Chari,Zimbabwe
100s,0,0,0,0,Brian Chari,Zimbabwe
200s,0,0,0,0,Brian Chari,Zimbabwe
300s,0,0,0,0,Brian Chari,Zimbabwe
400s,0,0,0,0,Brian Chari,Zimbabwe
Matches,4,22,13,0,Timycen Maruma,Zimbabwe
Innings,7,18,13,0,Timycen Maruma,Zimbabwe
Runs,68,196,100,0,Timycen Maruma,Zimbabwe
Balls,186,330,110,0,Timycen Maruma,Zimbabwe
Highest,41,35,23,0,Timycen Maruma,Zimbabwe
Average,9.71,11.53,11.11,0,Timycen Maruma,Zimbabwe
SR,36.56,59.40,90.91,0,Timycen Maruma,Zimbabwe
Not Out,0,1,4,0,Timycen Maruma,Zimbabwe
Fours,8,14,6,0,Timycen Maruma,Zimbabwe
Sixes,0,6,4,0,Timycen Maruma,Zimbabwe
Ducks,3,1,1,0,Timycen Maruma,Zimbabwe
50s,0,0,0,0,Timycen Maruma,Zimbabwe
100s,0,0,0,0,Timycen Maruma,Zimbabwe
200s,0,0,0,0,Timycen Maruma,Zimbabwe
300s,0,0,0,0,Timycen Maruma,Zimbabwe
400s,0,0,0,0,Timycen Maruma,Zimbabwe
Matches,14,213,56,0,Elton Chigumbura,Zimbabwe
Innings,27,198,56,0,Elton Chigumbura,Zimbabwe
Runs,569,4340,893,0,Elton Chigumbura,Zimbabwe
Balls,1133,5423,637,0,Elton Chigumbura,Zimbabwe
Highest,88,117,54,0,Elton Chigumbura,Zimbabwe
Average,21.07,25.23,19,0,Elton Chigumbura,Zimbabwe
SR,50.23,80.03,140.19,0,Elton Chigumbura,Zimbabwe
Not Out,0,26,9,0,Elton Chigumbura,Zimbabwe
Fours,67,343,61,0,Elton Chigumbura,Zimbabwe
Sixes,6,106,53,0,Elton Chigumbura,Zimbabwe
Ducks,6,17,6,0,Elton Chigumbura,Zimbabwe
50s,4,19,3,0,Elton Chigumbura,Zimbabwe
100s,0,2,0,0,Elton Chigumbura,Zimbabwe
200s,0,0,0,0,Elton Chigumbura,Zimbabwe
300s,0,0,0,0,Elton Chigumbura,Zimbabwe
400s,0,0,0,0,Elton Chigumbura,Zimbabwe
Matches,22,61,49,0,Regis Chakabva,Zimbabwe
Innings,43,57,49,0,Regis Chakabva,Zimbabwe
Runs,1061,1188,682,0,Regis Chakabva,Zimbabwe
Balls,2615,1751,557,0,Regis Chakabva,Zimbabwe
Highest,101,102,48,0,Regis Chakabva,Zimbabwe
Average,27.21,22,14.51,0,Regis Chakabva,Zimbabwe
SR,40.58,67.85,122.45,0,Regis Chakabva,Zimbabwe
Not Out,4,3,2,0,Regis Chakabva,Zimbabwe
Fours,102,93,59,0,Regis Chakabva,Zimbabwe
Sixes,8,9,27,0,Regis Chakabva,Zimbabwe
Ducks,3,3,11,0,Regis Chakabva,Zimbabwe
50s,5,4,0,0,Regis Chakabva,Zimbabwe
100s,1,1,0,0,Regis Chakabva,Zimbabwe
200s,0,0,0,0,Regis Chakabva,Zimbabwe
300s,0,0,0,0,Regis Chakabva,Zimbabwe
400s,0,0,0,0,Regis Chakabva,Zimbabwe
Matches,34,205,44,0,Brendan Taylor,Zimbabwe
Innings,68,203,45,0,Brendan Taylor,Zimbabwe
