ROWHEADER,Test,ODI,T20,IPL,name
100s,0.0,0.0,0.0,0.0,Jasprit Bumrah
200s,0.0,0.0,0.0,0.0,Jasprit Bumrah
300s,0.0,0.0,0.0,0.0,Jasprit Bumrah
400s,0.0,0.0,0.0,0.0,Jasprit Bumrah
Matches,13.0,113.0,40.0,90.0,Kuldeep Yadav
Innings,17.0,42.0,7.0,35.0,Kuldeep Yadav
Runs,199.0,207.0,46.0,189.0,Kuldeep Yadav
Balls,698.0,407.0,59.0,222.0,Kuldeep Yadav
Highest,40.0,19.0,23.0,35.0,Kuldeep Yadav
Average,13.27,9.86,11.5,13.5,Kuldeep Yadav
SR,28.52,50.86,77.97,85.14,Kuldeep Yadav
Not Out,2.0,21.0,3.0,21.0,Kuldeep Yadav
Fours,18.0,14.0,2.0,17.0,Kuldeep Yadav
Sixes,1.0,0.0,0.0,3.0,Kuldeep Yadav
Ducks,4.0,3.0,2.0,5.0,Kuldeep Yadav
50s,0.0,0.0,0.0,0.0,Kuldeep Yadav
100s,0.0,0.0,0.0,0.0,Kuldeep Yadav
200s,0.0,0.0,0.0,0.0,Kuldeep Yadav
300s,0.0,0.0,0.0,0.0,Kuldeep Yadav
400s,0.0,0.0,0.0,0.0,Kuldeep Yadav
Matches,0.0,72.0,80.0,166.0,Yuzvendra Chahal
Innings,0.0,14.0,6.0,20.0,Yuzvendra Chahal
Runs,0.0,77.0,6.0,37.0,Yuzvendra Chahal
Balls,0.0,141.0,13.0,86.0,Yuzvendra Chahal
Highest,0.0,18.0,3.0,8.0,Yuzvendra Chahal
Average,0.0,8.56,3.0,5.29,Yuzvendra Chahal
SR,0.0,54.61,46.16,43.03,Yuzvendra Chahal
Not Out,0.0,5.0,4.0,13.0,Yuzvendra Chahal
Fours,0.0,8.0,0.0,0.0,Yuzvendra Chahal
Sixes,0.0,0.0,0.0,0.0,Yuzvendra Chahal
Ducks,0.0,1.0,0.0,1.0,Yuzvendra Chahal
50s,0.0,0.0,0.0,0.0,Yuzvendra Chahal
100s,0.0,0.0,0.0,0.0,Yuzvendra Chahal
200s,0.0,0.0,0.0,0.0,Yuzvendra Chahal
300s,0.0,0.0,0.0,0.0,Yuzvendra Chahal
400s,0.0,0.0,0.0,0.0,Yuzvendra Chahal
Matches,2.0,8.0,11.0,32.0,Navdeep Saini
Innings,3.0,5.0,3.0,7.0,Navdeep Saini
Runs,8.0,107.0,12.0,33.0,Navdeep Saini
Balls,27.0,137.0,11.0,37.0,Navdeep Saini
Highest,5.0,45.0,11.0,12.0,Navdeep Saini
Average,4.0,53.5,0.0,8.25,Navdeep Saini
SR,29.63,78.11,109.1,89.19,Navdeep Saini
Not Out,1.0,3.0,3.0,3.0,Navdeep Saini
Fours,1.0,9.0,2.0,3.0,Navdeep Saini
Sixes,0.0,3.0,0.0,0.0,Navdeep Saini
Ducks,0.0,0.0,0.0,0.0,Navdeep Saini
50s,0.0,0.0,0.0,0.0,Navdeep Saini
100s,0.0,0.0,0.0,0.0,Navdeep Saini
200s,0.0,0.0,0.0,0.0,Navdeep Saini
300s,0.0,0.0,0.0,0.0,Navdeep Saini
400s,0.0,0.0,0.0,0.0,Navdeep Saini
Matches,57.0,75.0,9.0,148.0,Umesh Yadav
Innings,68.0,24.0,2.0,52.0,Umesh Yadav
Runs,460.0,79.0,22.0,208.0,Umesh Yadav
Balls,883.0,134.0,21.0,201.0,Umesh Yadav
Highest,31.0,18.0,20.0,24.0,Umesh Yadav
Average,11.22,7.9,22.0,9.9,Umesh Yadav
SR,52.1,58.96,104.77,103.49,Umesh Yadav
Not Out,27.0,14.0,1.0,31.0,Umesh Yadav
Fours,42.0,8.0,2.0,16.0,Umesh Yadav
Sixes,24.0,1.0,0.0,9.0,Umesh Yadav
Ducks,9.0,4.0,0.0,8.0,Umesh Yadav
50s,0.0,0.0,0.0,0.0,Umesh Yadav
100s,0.0,0.0,0.0,0.0,Umesh Yadav
200s,0.0,0.0,0.0,0.0,Umesh Yadav
300s,0.0,0.0,0.0,0.0,Umesh Yadav
400s,0.0,0.0,0.0,0.0,Umesh Yadav
Matches,36.0,44.0,16.0,99.0,Mohammed Siraj
Innings,49.0,17.0,5.0,25.0,Mohammed Siraj
Runs,131.0,55.0,14.0,109.0,Mohammed Siraj
Balls,356.0,129.0,16.0,119.0,Mohammed Siraj
Highest,16.0,9.0,7.0,14.0,Mohammed Siraj
Average,4.85,7.86,7.0,10.9,Mohammed Siraj
SR,36.8,42.64,87.5,91.6,Mohammed Siraj
Not Out,22.0,10.0,3.0,15.0,Mohammed Siraj
Fours,14.0,3.0,1.0,10.0,Mohammed Siraj
Sixes,2.0,0.0,0.0,4.0,Mohammed Siraj
Ducks,11.0,1.0,1.0,2.0,Mohammed Siraj
50s,0.0,0.0,0.0,0.0,Mohammed Siraj
100s,0.0,0.0,0.0,0.0,Mohammed Siraj
200s,0.0,0.0,0.0,0.0,Mohammed Siraj
300s,0.0,0.0,0.0,0.0,Mohammed Siraj
400s,0.0,0.0,0.0,0.0,Mohammed Siraj
Matches,70,243,78,0,Tamim Iqbal
Innings,134,240,78,0,Tamim Iqbal
Runs,5134,8357,1758,0,Tamim Iqbal
Balls,8852,10642,1500,0,Tamim Iqbal
Highest,206,158,103,0,Tamim Iqbal
Average,38.89,36.65,24.08,0,Tamim Iqbal
SR,58.00,78.53,117.20,0,Tamim Iqbal
Not Out,2,12,5,0,Tamim Iqbal
Fours,656,925,189,0,Tamim Iqbal
Sixes,41,103,45,0,Tamim Iqbal
Ducks,11,19,6,0,Tamim Iqbal
50s,31,56,7,0,Tamim Iqbal
100s,10,14,1,0,Tamim Iqbal
200s,1,0,0,0,Tamim Iqbal
300s,0,0,0,0,Tamim Iqbal
400s,0,0,0,0,Tamim Iqbal
Matches,16,76,87,0,Soumya Sarkar
Innings,30,71,86,0,Soumya Sarkar
Runs,831,2198,1462,0,Soumya Sarkar
Balls,1442,2282,1197,0,Soumya Sarkar
Highest,149,169,68,0,Soumya Sarkar
Average,27.7,32.32,17.83,0,Soumya Sarkar
SR,57.63,96.32,122.14,0,Soumya Sarkar
Not Out,0,3,4,0,Soumya Sarkar
Fours,109,256,145,0,Soumya Sarkar
Sixes,9,52,55,0,Soumya Sarkar
Ducks,2,9,13,0,Soumya Sarkar
50s,4,13,5,0,Soumya Sarkar
100s,1,3,0,0,Soumya Sarkar
200s,0,0,0,0,Soumya Sarkar
300s,0,0,0,0,Soumya Sarkar
400s,0,0,0,0,Soumya Sarkar
Matches,11,66,48,0,Sabbir Rahman
Innings,22,59,47,0,Sabbir Rahman
Runs,481,1333,977,0,Sabbir Rahman
Balls,875,1461,819,0,Sabbir Rahman
Highest,66,102,80,0,Sabbir Rahman
Average,24.05,25.63,23.26,0,Sabbir Rahman
SR,54.98,91.24,119.30,0,Sabbir Rahman
Not Out,2,7,5,0,Sabbir Rahman
Fours,56,153,92,0,Sabbir Rahman
Sixes,6,24,29,0,Sabbir Rahman
